id,Tipo de inmueble,Operación,Precio,Estado,Delegación,Colonia,Núm. de recamaras,Núm. de baños,Estacionamientos,m2 de construcción,m2 de terreno,Niveles,Antigüedad,fecha_captura
64269tc,EDIFICIO,RENTA,"$150,000 MXN",CDMX,IZTACALCO,Granjas Mexico,,SI,4,500,,2,ENTRE 0 - 5 AÑOS,2025-05-16 01:33:34
64433tc,CASA,RENTA,"$17,500 MXN",CDMX,IZTAPALAPA,Lomas Estrella,4,SI,1,122,,1,,2025-05-16 01:33:39
64262tc,DEPARTAMENTO,RENTA,"$17,000 MXN",CDMX,ALVARO OBREGON,Carola,2,2,2,61,,23,ENTRE 6 - 10 AÑOS,2025-05-16 01:33:42
64266tc,CASA,RENTA,"$42,000 MXN",CDMX,BENITO JUAREZ,Del Valle Norte,4,SI,4,190,,2,MAS DE 30,2025-05-16 01:33:46
64405tc,DEPARTAMENTO,RENTA,"$20,000 MXN",CDMX,TLALPAN,Ex Hacienda San Juan De Dios,2,1,1,120,,,ENTRE 6 - 10 AÑOS,2025-05-16 01:33:50
64226tc,DEPARTAMENTO,RENTA,"$6,000 MXN",CDMX,TLAHUAC,Los Olivos,2,1,,68,,,,2025-05-16 01:33:53
64365tc,DEPARTAMENTO,RENTA,"$13,000 MXN",CDMX,VENUSTIANO CARRANZA,Moctezuma 1a Seccion,2,1,1,60,,4,ENTRE 0 - 5 AÑOS,2025-05-16 01:33:56
64639tc,DEPARTAMENTO,RENTA,"$23,000 MXN",CDMX,BENITO JUAREZ,Portales Norte,3,2,2,129,,17,ENTRE 0 - 5 AÑOS,2025-05-16 01:34:00
64428tc,DEPARTAMENTO,RENTA,"$24,900 MXN",CDMX,BENITO JUAREZ,Ampliacion Napoles,2,1,1,80,,5,,2025-05-16 01:34:04
64176tc,DEPARTAMENTO,RENTA,"$17,500 MXN",CDMX,BENITO JUAREZ,Napoles,2,1,1,90,,,,2025-05-16 01:34:07
